AddressLine,StateCode,City,Zipcode,PropertyPrice,BedRooms,BathRooms,Property_Sqft,School_rating,Garage,YearBuilt,TimeOnRedfin,PropertyType,PropertyStyle,PropertyCommunity,TimeOnRedfin_Days
3950 Vineyard Ave,CA,Pleasanton,94566,1725000.0,3.0,2.0,1700.0,8,Yes,1921,31 days,Single Family Residential,Craftsman,DOWN TOWN,31.0
673 Palomino Dr Unit C,CA,Pleasanton,94566,774000.0,2.0,2.0,1198.0,7,Yes,1985,32 days,Townhouse,Contemporary,OAK TREE VILLAS,32.0
219 Rachael Pl,CA,Pleasanton,94566,990000.0,3.0,2.5,1446.0,7,Yes,1989,34 days,Condo,Contemporary,COUNTRY ROADS,34.0
843 Division St Unit B,CA,Pleasanton,94566,530000.0,2.0,1.5,948.0,8,No,1959,24 days,Condo,Contemporary,DOWNTOWN AREA,24.0
7835 Canyon Meadow Cir Unit B,CA,Pleasanton,94588,715000.0,3.0,2.0,1257.0,7,Yes,1991,53 days,Condo,Contemporary,CANYON MEADOWS,53.0
5132 Springdale Ave,CA,Pleasanton,94588,1335000.0,3.0,2.0,1679.0,7,Yes,1969,6 days,Single Family Residential,"Contemporary, Ranch",STONERIDGE AREA,6.0
3128 Persimmon Cir,CA,Pleasanton,94588,1799888.0,4.0,2.5,2192.0,7,Yes,1999,26 days,Single Family Residential,Contemporary,STONERIDGE PLACE,26.0
265 Kottinger Dr,CA,Pleasanton,94566,2199999.0,4.0,3.0,2284.0,8,Yes,1977,61 days,Single Family Residential,Ranch,DOWNTOWN PLEAS.,61.0
2163 Shadow Creek Ct,CA,Pleasanton,94566,3863375.0,5.0,5.5,4035.0,7,Yes,2023,54 days,Single Family Residential,Contemporary,Diamond Canyon,54.0
7859 Medinah Ct,CA,Pleasanton,94588,1825000.0,3.0,2.5,2520.0,7,Yes,1994,23 hours,Single Family Residential,Ranch,GOLDEN EAGLE LUX,0.9583333333333334
5565 Black Ave,CA,Pleasanton,94566,1598000.0,4.0,2.5,2124.0,7,Yes,1969,4 days,Single Family Residential,Traditional,PLEASANTON VALLY,4.0
1333 Montrose Pl,CA,Pleasanton,94566,8998000.0,7.0,6.0,6535.0,7,Yes,2006,54 days,Single Family Residential,Craftsman,BORDEAUX ESTATES,54.0
218 Tomas Way,CA,Pleasanton,94566,1275000.0,3.0,2.0,1588.0,7,Yes,1984,10 days,Single Family Residential,Contemporary,OAK PARK,10.0
7400 Johnston Rd,CA,Pleasanton,94588,4100000.0,4.0,6.5,7500.0,8,Yes,1996,434 days,Single Family Residential,Mediterranean,DANVILLE,434.0
645 Oak Cir,CA,Pleasanton,94566,1724000.0,4.0,3.0,2636.0,8,Yes,1962,68 days,Single Family Residential,Contemporary,DOWNTOWN AREA,68.0
3863 Saratoga Way,CA,Pleasanton,94588,769000.0,3.0,1.5,1242.0,7,No,1977,34 days,Townhouse,Contemporary,FAIRLANDS,34.0
402 Arlington Ct,CA,Pleasanton,94566,1900000.0,4.0,3.5,2954.0,7,Yes,1969,29 days,Single Family Residential,Contemporary,ROSE POINTE,29.0
4050 Rennellwood Way,CA,Pleasanton,94566,1249000.0,3.0,2.5,1614.0,7,Yes,1976,4 days,Single Family Home,Contemporary,PLEASANTON,4.0
4016 Windsor Way,CA,Pleasanton,94568,1180000.0,3.0,3.5,1962.0,9,Yes,2017,172 days,Condo,Contemporary,WALLISRANCH,172.0
1642 Orvieto Ct,CA,Pleasanton,94566,4500000.0,5.0,5.5,5300.0,8,Yes,1997,6 days,Single Family Home,Contemporary,PLEASANTON,6.0
3409 Zenith Ave,CA,Pleasanton,94568,1150000.0,3.0,3.5,1766.0,9,Yes,2019,1 hour,Condo,Contemporary,DUBLIN,0.041666666666666664
7285 Hickorywood Ln,CA,Pleasanton,94566,2295000.0,6.0,5.0,3547.0,7,Yes,2004,19 days,Single Family Residential,Contemporary,CARLTON OAKS,19.0
4317 Chapman Way,CA,Pleasanton,94588,1390000.0,3.0,2.0,1434.0,7,Yes,1969,12 days,Single Family Residential,"Contemporary, Ranch, Traditional",VALLE VISTA,12.0
1159 Wenig Ct,CA,Pleasanton,94566,2388000.0,5.0,4.5,3067.0,7,Yes,2006,20 days,Single Family Residential,Traditional,VILLAGES AT IRONWOOD,20.0
3238 W Las Positas Blvd,CA,Pleasanton,94588,1175000.0,3.0,2.5,1473.0,7,Yes,1993,3 days,Townhouse,Contemporary,ALAMEDA,3.0
809 Montevino Dr,CA,Pleasanton,94566,2750000.0,5.0,3.0,3292.0,7,Yes,1990,5 days,Single Family Residential,Contemporary,VINTAGE HILLS,5.0
434 Rose Ave,CA,Pleasanton,94566,2799000.0,6.0,6.5,3648.0,8,Yes,2017,60 days,Single Family Residential,Traditional,DOWNTOWN PLEAS.,60.0
777 Happy Valley Rd,CA,Pleasanton,94566,5500000.0,4.0,5.0,3455.0,7,Yes,1977,126 days,Single Family Residential,"Custom, Ranch, Traditional",PLEASANTON,126.0
1655 Orvieto Ct,CA,Pleasanton,94566,3875000.0,4.0,3.5,4500.0,8,Yes,1999,26 days,Single Family Residential,Mediterranean,RUBY HILL,26.0
4306 1st St,CA,Pleasanton,94566,1000000.0,3.0,2.0,1271.0,8,Yes,1890,12 days,Single Family Residential,Bungalow,DOWNTOWN,12.0
7686 Maywood Dr,CA,Pleasanton,94588,2168900.0,4.0,3.0,2960.0,7,Yes,1989,5 days,Single Family Residential,Traditional,FOREST HILLS,5.0
9767 Santos Ranch Rd,CA,Pleasanton,94588,7950000.0,5.0,5.5,6500.0,7,Yes,2010,201 days,Single Family Residential,"Custom, Traditional",SANTOS RANCH,201.0
2004-2006 W Lagoon Rd,CA,Pleasanton,94566,2650000.0,6.0,5.0,3547.0,7,Yes,2004,126 days,Single Family Home,Contemporary,PLEASANTON,126.0
25 Colby Ct,CA,Pleasanton,94566,1488888.0,3.0,2.5,1789.0,8,Yes,1999,19 days,Single Family Residential,Contemporary,TOWN SQUARE,19.0
2398 Bay Meadows Cir,CA,Pleasanton,94566,1249000.0,3.0,2.0,1421.0,7,Yes,1979,8 days,Townhouse,"Brown Shingle, Contemporary",NORTHWAY DOWNS,8.0
4504 Muirwood Dr,CA,Pleasanton,94588,1550000.0,4.0,2.0,2200.0,7,Yes,1966,10 days,Single Family Residential,Ranch,HIGHLAND OAKS,10.0
6443 Arlington Dr,CA,Pleasanton,94566,1699000.0,4.0,2.5,2332.0,7,Yes,1975,30 hours,Single Family Home,Ranch,PLEASANTON,1.25
827 Bonde Ct,CA,Pleasanton,94566,1850000.0,4.0,2.5,2162.0,8,Yes,1964,69 days,Single Family Residential,Custom,PLEASANTON HGTS,69.0
5693 Ellis Ct,CA,Pleasanton,94566,3750000.0,5.0,5.5,4974.0,7,Yes,2005,3 days,Single Family Residential,Mediterranean,SYCAMORE HEIGHTS,3.0
